en	ja	de	fr	es
INFINITE LIVES	残機無限	UNENDLICHE LEBEN	VIES INFINIES	VIDAS INFINITAS
RESUME	再開	FORTSETZEN	REPRENDRE	CONTINUAR
LOCKED	変更不可	GESPERRT	VERROUILLÉ	BLOQUEADO
SCALEFX	SCALEFX	SCALEFX	SCALEFX	SCALEFX
3D OUTPUT	3D出力	3D-AUSGABE	SORTIE 3D	SALIDA 3D
HALF SBS	ハーフSBS	HALB-SBS	DEMI-SBS	SBS MITAD
FULL SBS	フルSBS	VOLL-SBS	SBS COMPLET	SBS COMPLETO
CHEATS	チート	CHEATS	TRICHES	TRUCOS
LEVEL SELECT	ステージ選択	LEVELWAHL	CHOIX DU NIVEAU	ELEGIR NIVEL
DEFAULT LASER	初期レーザー	STARTLASER	LASER INITIAL	LÁSER INICIAL
INFINITE BOMBS	ボム無制限	UNENDLICHE BOMBEN	BOMBES INFINIES	BOMBAS INFINITAS
INFINITE BOOST	ブースト無制限	UNENDLICHER BOOST	TURBO INFINI	TURBO INFINITO
SINGLE	シングル	EINFACH	SIMPLE	SIMPLE
DUAL	ツイン	DOPPELT	DOUBLE	DOBLE
BEAM	ビーム	STRAHL	RAYON	RAYO
HUD LAYOUT	HUD配置	HUD-LAYOUT	DISPOSITION HUD	DISEÑO DEL HUD
EX HUD	EX HUD	EX HUD	HUD EX	HUD EX
ACTION	操作	AKTION	ACTION	ACCIÓN
UP	上	OBEN	HAUT	ARRIBA
DOWN	下	UNTEN	BAS	ABAJO
LEFT	左	LINKS	GAUCHE	IZQUIERDA
RIGHT	右	RECHTS	DROITE	DERECHA
RESET	リセット	ZURÜCKSETZEN	RÉINITIALISER	RESTABLECER
YES	はい	JA	OUI	SÍ
NO	いいえ	NEIN	NON	NO
EXIT GAME?	ゲームを終了？	SPIEL BEENDEN?	QUITTER LE JEU ?	¿SALIR DEL JUEGO?
YES       NO	はい       いいえ	JA       NEIN	OUI       NON	SÍ       NO
PRESS A KEY OR CONTROL	キーかボタンを押す	TASTE ODER KNOPF DRÜCKEN	APPUYEZ SUR UNE TOUCHE	PULSA UNA TECLA O BOTÓN
KEYBOARD	キーボード	TASTATUR	CLAVIER	TECLADO
B CANCEL	B キャンセル	B ZURÜCK	B ANNULER	B VOLVER
A APPLY	A 適用	A OK	A VALIDER	A APLICAR
Y RESET	Y リセット	Y RESET	Y RAZ	Y REINIC.
GOD MODE OFF	無敵モード OFF	UNVERWUNDBAR AUS	INVINCIBILITÉ NON	INVENCIBILIDAD NO
GOD MODE ON	無敵モード ON	UNVERWUNDBAR EIN	INVINCIBILITÉ OUI	INVENCIBILIDAD SÍ
REWIND DISABLED	巻き戻し無効	RÜCKSPULEN AUS	RETOUR ARRIÈRE NON	REBOBINADO NO
REWIND ENABLED	巻き戻し有効	RÜCKSPULEN EIN	RETOUR ARRIÈRE OUI	REBOBINADO SÍ
SHARP	シャープ	SCHARF	NET	NÍTIDO
EDGE	輪郭	KANTE	CONTOUR	BORDE
HDR EFFECT	HDR効果	HDR-EFFEKT	EFFET HDR	EFECTO HDR
CHROMATIC ABERRATION	色収差	CHROMATISCHE ABERRATION	ABERRATION CHROMATIQUE	ABERRACIÓN CROMÁTICA
ENHANCED SHADOWS	高品質な影	VERBESSERTE SCHATTEN	OMBRES AMÉLIORÉES	SOMBRAS MEJORADAS
RAY TRACING	レイトレーシング	RAYTRACING	RAY TRACING	TRAZADO DE RAYOS
UNAVAILABLE	利用不可	NICHT VERFÜGBAR	INDISPONIBLE	NO DISPONIBLE
CEL-DRAWN	セル画風	CEL-SHADING	DESSIN ANIMÉ	DIBUJO ANIMADO
INK	インク	TUSCHE	ENCRE	TINTA
NEON	ネオン	NEON	NÉON	NEÓN
MONOCHROME	モノクロ	MONOCHROM	MONOCHROME	MONOCROMO
DITHERED	ディザ	RASTERUNG	TRAMAGE	TRAMADO
BLUEPRINT	青写真	BLAUPAUSE	PLAN BLEU	PLANO AZUL
BLOOM	ブルーム	BLOOM	BLOOM	BLOOM
SEPIA	セピア	SEPIA	SÉPIA	SEPIA
THERMAL	サーモグラフィー	WÄRMEBILD	THERMIQUE	TÉRMICO
NIGHT VISION	暗視	NACHTSICHT	VISION NOCTURNE	VISIÓN NOCTURNA
PASTEL	パステル	PASTELL	PASTEL	PASTEL
COMIC	コミック	COMIC	BANDE DESSINÉE	CÓMIC
VAPORWAVE	ヴェイパーウェイヴ	VAPORWAVE	VAPORWAVE	VAPORWAVE
NOT FOUND	見つかりません	NICHT GEFUNDEN	INTROUVABLE	NO ENCONTRADO
HIGH	強	HOCH	ÉLEVÉ	ALTO
LIGHT	弱	LEICHT	LÉGER	LIGERO
ORIGINAL	オリジナル	ORIGINAL	ORIGINAL	ORIGINAL
STARFOX EX	STARFOX EX	STARFOX EX	STARFOX EX	STARFOX EX
GPU	GPU	GPU	GPU	GPU
SOFTWARE	ソフトウェア	SOFTWARE	LOGICIEL	SOFTWARE
UNLOCKED 20 HZ	固定20HZ	FESTE 20 HZ	20 HZ FIXES	20 HZ FIJOS
4 BY 3 STANDARD	4:3 標準	4:3 STANDARD	4:3 STANDARD	4:3 ESTÁNDAR
16 BY 9 WIDE	16:9 ワイド	16:9 BREIT	16:9 LARGE	16:9 PANORÁMICO
16 BY 10 WIDE	16:10 ワイド	16:10 BREIT	16:10 LARGE	16:10 PANORÁMICO
21 BY 9 ULTRA	21:9 ウルトラワイド	21:9 ULTRABREIT	21:9 ULTRALARGE	21:9 ULTRAPANORÁMICO
32 BY 9 SUPER	32:9 スーパーワイド	32:9 SUPERBREIT	32:9 SUPERLARGE	32:9 SUPERPANORÁMICO
WIREFRAME THICKNESS	ワイヤーの太さ	LINIENSTÄRKE	ÉPAISSEUR DES LIGNES	GROSOR DE LÍNEAS
OPTIONS	設定	OPTIONEN	OPTIONS	OPCIONES
LANGUAGE	言語	SPRACHE	LANGUE	IDIOMA
BACK	戻る	ZURÜCK	RETOUR	VOLVER
START GAME	ゲーム開始	SPIEL STARTEN	JOUER	INICIAR JUEGO
EXPERIENCE	ゲーム	SPIELVERSION	VERSION	VERSIÓN
PACE/SPEED	ゲーム速度	SPIELTEMPO	VITESSE DU JEU	RITMO/VELOCIDAD
RENDER FPS	描画FPS	BILDRATE	FPS AFFICHÉS	FPS DE RENDER
DISPLAY	画面比率	BILDFORMAT	FORMAT D'ÉCRAN	PANTALLA
RENDERER	描画方式	RENDERER	MOTEUR GRAPHIQUE	RENDERIZADOR
MSU-1 MUSIC	MSU-1音楽	MSU-1-MUSIK	MUSIQUE MSU-1	MÚSICA MSU-1
RUMBLE	振動	VIBRATION	VIBRATION	VIBRACIÓN
ANTI-ALIASING	アンチエイリアス	KANTENGLÄTTUNG	ANTICRÉNELAGE	SUAVIZADO DE BORDES
2D FILTER	2Dフィルター	2D-FILTER	FILTRE 2D	FILTRO 2D
RENDER UPSCALE	描画解像度	RENDERSKALIERUNG	ÉCHELLE RENDU	ESCALA DE RENDER
ENHANCED LIGHTING	強化ライティング	VERBESSERTE BELEUCHTUNG	ÉCLAIRAGE AMÉLIORÉ	ILUMINACIÓN MEJORADA
VSYNC	垂直同期	VSYNC	SYNCHRO VERTICALE	SINCRONIZACIÓN VERTICAL
MODEL EFFECTS	モデル効果	MODELLEFFEKTE	EFFETS DES MODÈLES	EFECTOS DE MODELOS
WORLD EFFECTS	背景効果	WELTEFFEKTE	EFFETS DU DÉCOR	EFECTOS DEL ENTORNO
PREVIEW	プレビュー	VORSCHAU	APERÇU	VISTA PREVIA
3D BLOOM	3Dブルーム	3D-BLOOM	BLOOM 3D	BLOOM 3D
2D BLOOM	2Dブルーム	2D-BLOOM	BLOOM 2D	BLOOM 2D
3D SMOOTHING	3Dスムージング	3D-GLÄTTUNG	LISSAGE 3D	SUAVIZADO 3D
2D OPTIONS	2D設定	2D-OPTIONEN	OPTIONS 2D	OPCIONES 2D
3D OPTIONS	3D設定	3D-OPTIONEN	OPTIONS 3D	OPCIONES 3D
MODEL EFFECT INTENSITY	モデル効果の強さ	MODELL-EFFEKTSTÄRKE	INTENS. EFFETS MODÈLES	INTENS. EFECTO MODELOS
WORLD EFFECT INTENSITY	背景効果の強さ	WELT-EFFEKTSTÄRKE	INTENS. EFFETS DÉCOR	INTENS. EFECTO ENTORNO
GOD MODE	無敵モード	UNVERWUNDBAR	INVINCIBILITÉ	INVENCIBILIDAD
ON-SCREEN FPS	FPS表示	FPS ANZEIGEN	AFFICHER LES FPS	MOSTRAR FPS
CROSSHAIR COLOR	照準の色	FADENKREUZFARBE	COULEUR DU VISEUR	COLOR DE LA MIRA
CUSTOMIZE SCREEN	画面配置を変更	HUD ANPASSEN	PERSONNALISER L'ÉCRAN	PERSONALIZAR PANTALLA
ON-SCREEN BUTTONS	画面上のボタン	BILDSCHIRMTASTEN	BOUTONS TACTILES	BOTONES EN PANTALLA
SWAP A/B + Y/X	A/B・Y/Xを交換	A/B + Y/X TAUSCHEN	INVERSER A/B + Y/X	INTERCAMBIAR A/B + Y/X
MUSIC VOLUME	音楽の音量	MUSIKLAUTSTÄRKE	VOLUME MUSIQUE	VOLUMEN DE MÚSICA
SFX VOLUME	効果音の音量	EFFEKTLAUTSTÄRKE	VOLUME EFFETS SONORES	VOLUMEN DE EFECTOS
STICK SENSITIVITY	スティック感度	STICK-EMPFINDLICHKEIT	SENSIBILITÉ DU STICK	SENSIBILIDAD DE PALANCA
CONTROLLER	コントローラー	CONTROLLER	MANETTE	MANDO
CONTROLLER REMAP	ボタン割り当て	TASTENBELEGUNG	CONFIGURER LA MANETTE	CONFIGURAR MANDO
A  OPEN	A  開く	A  ÖFFNEN	A  OUVRIR	A  ABRIR
A  REMAP	A  設定	A  BELEGEN	A  CONFIGURER	A  CONFIGURAR
ON	オン	EIN	OUI	SÍ
OFF	オフ	AUS	NON	NO
LOW	弱	NIEDRIG	FAIBLE	BAJO
MEDIUM	中	MITTEL	MOYEN	MEDIO
HEAVY	強	STARK	FORT	ALTO
GREEN	緑	GRÜN	VERT	VERDE
WHITE	白	WEISS	BLANC	BLANCO
BLUE	青	BLAU	BLEU	AZUL
RED	赤	ROT	ROUGE	ROJO
YELLOW	黄	GELB	JAUNE	AMARILLO
CYAN	シアン	CYAN	CYAN	CIAN
MAGENTA	マゼンタ	MAGENTA	MAGENTA	MAGENTA
ORANGE	オレンジ	ORANGE	ORANGE	NARANJA
POSTERIZE	ポスタライズ	POSTERISIERUNG	POSTÉRISATION	POSTERIZADO
CYANOTYPE	サイアノタイプ	CYANOTYPIE	CYANOTYPE	CIANOTIPIA
WARM FILM	暖色フィルム	WARMER FILM	FILM CHAUD	PELÍCULA CÁLIDA
D-PAD  CHOOSE	十字キー  選択	STEUERKREUZ  WÄHLEN	CROIX  CHOISIR	CRUCETA  ELEGIR
LEFT/RIGHT  DEVICE	左右  デバイス	LINKS/RECHTS  GERÄT	GAUCHE/DROITE  APPAREIL	IZQ./DER.  DISPOSITIVO
A  BIND   Y  DEFAULTS	A  割り当て  Y  初期設定	A  BELEGEN  Y  STANDARD	A  ASSIGNER  Y  DÉFAUT	A  ASIGNAR  Y  RESTABLECER
B/START/ESC  DONE	B/START/ESC  完了	B/START/ESC  FERTIG	B/START/ESC  TERMINER	B/START/ESC  TERMINAR
GOLD METAL	金	GOLDMETALL	MÉTAL DORÉ	METAL DORADO
COPPER METAL	銅	KUPFERMETALL	MÉTAL CUIVRÉ	METAL COBRIZO
COPPER TONE	銅色調	KUPFERTON	TON CUIVRÉ	TONO COBRIZO
TEAL/ORANGE	青緑／オレンジ	PETROL/ORANGE	TURQUOISE/ORANGE	TURQUESA/NARANJA
HANDHELD	携帯ゲーム機	HANDHELD	CONSOLE PORTABLE	CONSOLA PORTÁTIL
EFFECTS OFF	エフェクトなし	EFFEKTE AUS	EFFETS DÉSACTIVÉS	EFECTOS DESACTIVADOS
DRAWN EFFECTS	描画表現	ZEICHENSTILE	EFFETS DESSINÉS	EFECTOS DIBUJADOS
RETRO EFFECTS	レトロ表現	RETRO-EFFEKTE	EFFETS RÉTRO	EFECTOS RETRO
COLOUR EFFECTS	色調表現	FARBEFFEKTE	EFFETS DE COULEUR	EFECTOS DE COLOR
STYLIZED EFFECTS	特殊表現	STIL-EFFEKTE	EFFETS STYLISÉS	EFECTOS ESTILIZADOS
REFLECTIVE MATERIALS	反射素材	REFLEXIONSMATERIALIEN	MATÉRIAUX RÉFLÉCHISSANTS	MATERIALES REFLECTANTES
WATERCOLOUR	水彩	AQUARELL	AQUARELLE	ACUARELA
CHALK	チョーク	KREIDE	CRAIE	TIZA
EMBOSS	浮き彫り	RELIEF	RELIEF	RELIEVE
BLEACH BYPASS	銀残し	BLEICHBYPASS	SANS BLANCHIMENT	SIN BLANQUEO
STAINED GLASS	ステンドグラス	BUNTGLAS	VITRAIL	VIDRIERA
RISOGRAPH	リソグラフ	RISOGRAPHIE	RISOGRAPHIE	RISOGRAFÍA
HOLOGRAM	ホログラム	HOLOGRAMM	HOLOGRAMME	HOLOGRAMA
MOSAIC	モザイク	MOSAIK	MOSAÏQUE	MOSAICO
PENCIL	鉛筆画	BLEISTIFT	CRAYON	LÁPIZ
OIL PAINT	油絵	ÖLGEMÄLDE	PEINTURE À L'HUILE	ÓLEO
MANIPULATIONS	画像変形	BILDMANIPULATIONEN	MANIPULATIONS	MANIPULACIONES
KALEIDOSCOPE	万華鏡	KALEIDOSKOP	KALÉIDOSCOPE	CALEIDOSCOPIO
PRISM SPLIT	プリズム分離	PRISMATRENNUNG	SÉPARATION PRISME	SEPARACIÓN PRISMA
PIXEL SORT	ピクセルソート	PIXELSORTIERUNG	TRI DE PIXELS	ORDENAR PÍXELES
TRAILS	残像	NACHZIEHEFFEKT	TRAÎNÉES	ESTELAS
LONG EXPOSURE	長時間露光	LANGZEITBELICHTUNG	POSE LONGUE	LARGA EXPOSICIÓN
SHATTER	破片	SPLITTER	ÉCLATS	FRAGMENTOS
MELT	溶解	SCHMELZEN	FONTE	DERRETIR
RIPPLE WARP	波紋変形	WELLENVERZERRUNG	ONDULATIONS	ONDULACIÓN
