id	ja	de	fr	es
ex.radio.2.138	ローリングを忘れるな！	Vergiss die Fassrolle nicht!	N'oublie pas de faire des tonneaux !	¡No olvides hacer toneles!
ex.radio.2.139	こうすると敵の攻撃をほとんど防げる！	So blockst du die meisten Angriffe!	Cela bloque la plupart des attaques !	¡Así bloqueas la mayoría de los ataques!
ex.radio.2.140	機体を傾けるのも大事だ！LかRを押し続けると…	Neigen ist auch wichtig! Halte L oder R...	Incliner le vaisseau compte aussi ! Maintiens L ou R...	¡Inclinar la nave también importa! Mantén L o R...
ex.radio.2.141	その方向に素早く移動できる！	...um dich in diese Richtung schneller zu bewegen!	...pour te déplacer plus vite dans cette direction !	...¡para moverte más rápido en esa dirección!
ex.radio.2.142	bsnes 1.51がベースだね。楽しんで！	Das basiert auf bsnes 1.51. Viel Spaß!	Basé sur bsnes 1.51. Amuse-toi bien !	Está basado en bsnes 1.51. ¡Disfruta!
ex.radio.2.143	MiSTerかAnalogue Pocketだね！すごい！	Du nutzt MiSTer oder Analogue Pocket! Cool!	Tu es sur MiSTer ou Analogue Pocket ! Super !	¡Usas MiSTer o Analogue Pocket! ¡Genial!
ex.radio.2.144	Snes9xベースだ。オーバークロックしよう！	Das basiert auf Snes9x. Übertakte es!	Basé sur Snes9x : overclocke-le !	Está basado en Snes9x. ¡Hazle overclock!
ex.radio.2.145	待て、ZSNESで動くのか？一応は…	Moment, das läuft auf ZSNES? So ungefähr...	Ça tourne sur ZSNES ? Plus ou moins...	¿Esto funciona en ZSNES? Más o menos...
ex.radio.2.146	任天堂の公式エミュレーター、Canoeだね！	Du nutzt Canoe, Nintendos offiziellen Emulator!	Tu utilises Canoe, l'émulateur officiel de Nintendo !	¡Usas Canoe, el emulador oficial de Nintendo!
ex.radio.2.147	SD2SNESかFXPAKだ！実機は最高！	Das ist ein SD2SNES oder FXPAK! Hardware ist klasse!	C'est un SD2SNES ou FXPAK ! Vive le matériel !	¡Es un SD2SNES o FXPAK! ¡Viva el hardware!
ex.radio.2.148	bsnes-plusらしいね。全部オーバークロックだ！	Sieht nach bsnes-plus aus. Alles übertakten!	On dirait bsnes-plus. Overclocke tout !	Parece bsnes-plus. ¡Haz overclock a todo!
ex.radio.2.149	Mesenか。素晴らしい選択だ。	Mesen. Eine hervorragende Wahl.	Mesen : un excellent choix.	Mesen: una elección excelente.
ex.radio.2.150	aresを検出！なんて正確なんだ！	Ares erkannt. Wie präzise!	Ares détecté : quelle précision !	¡Ares detectado! ¡Qué precisión!
ex.radio.2.151	本物の実機！？まさか！！	Echte Hardware?! Unmöglich!!	Du vrai matériel ?! Incroyable !!	¡¿Hardware real?! ¡¡No puede ser!!
ex.radio.2.152	Analogue Super Ntだね！すごい！	Das ist ein Analogue Super Nt! Cool!	C'est un Analogue Super Nt ! Super !	¡Es un Analogue Super Nt! ¡Genial!
ex.radio.2.153	スーパーFX3！！引き裂け！！	Super FX 3!! Reiß und zerfetze!!	Super FX 3 !! Déchire et massacre !!	¡¡Super FX 3!! ¡¡Desgarra y destroza!!
ex.radio.2.154	まさか！MSU-1！？ありえない！	Was?! MSU-1?! Unmöglich!	Quoi ?! MSU-1 ?! Impossible !	¡¿Qué?! ¡¿MSU-1?! ¡Imposible!
ex.radio.2.102	主が私を呼んだということは…	Wenn der Meister mich gerufen hat...	Si le maître m'a appelé...	Si el amo me ha llamado...
ex.radio.2.103	事態は深刻らしいな！	...muss es schlimm stehen!	...la situation doit être grave !	...¡la situación debe de ser grave!
ex.radio.2.104	かかってこい！…クレイグ！	Stell dich mir! ...Craig!	Viens m'affronter ! ...Craig !	¡Ven a enfrentarte a mí! ...¡Craig!
ex.radio.2.105	す…すまない、マ…	Es... Es tut mir leid, Mar...	Je... Je suis désolé, Mar...	Yo... Lo siento, Mar...
ex.radio.2.106	こうすると機体が速く移動するぞ！	So bewegt sich dein Schiff schneller!	Cela permet à ton vaisseau de se déplacer plus vite !	¡Así tu nave se mueve más rápido!
ex.radio.2.107	ここがどこだか分からないくらいだ…	Ich erkenne diesen Ort kaum wieder...	Je reconnais à peine cet endroit...	Apenas reconozco este lugar...
ex.radio.2.108	ここが故郷？変わり果てている…	Das ist meine Heimat? Nicht wiederzuerkennen...	C'est chez moi ? Méconnaissable...	¿Este es mi hogar? Está irreconocible...
ex.radio.2.109	何があったんだ？ひどすぎる！	Was ist hier passiert? Furchtbar!	Que s'est-il passé ici ? C'est affreux !	¿Qué ha pasado aquí? ¡Es horrible!
ex.radio.2.110	これは…そんなはずは…	Ist das... Das kann nicht sein...	Est-ce que... C'est impossible...	¿Es esto...? No puede ser...
ex.radio.2.111	なぜこんなことをしたんだ！？	Warum haben sie das alles getan?!	Pourquoi ont-ils fait tout ça ?!	¡¿Por qué han hecho todo esto?!
ex.radio.2.112	この落とし前はつけてもらうぞ…	Dafür wird jemand bezahlen...	Quelqu'un va payer pour tout ça...	Alguien va a pagar por todo esto...
ex.radio.2.113	どうだ、いい眺めだろう？	Na, wie ist die Aussicht?	Alors, comment est la vue ?	Dime, ¿qué tal la vista?
ex.radio.2.114	何！？お前は誰だ！？	Was?! Wer bist du?!	Quoi ?! Qui es-tu ?!	¡¿Qué?! ¡¿Quién eres?!
ex.radio.2.115	ここまでだ、フォックス！	Endstation, Fox!	Terminus, Fox !	¡Hasta aquí llegaste, Fox!
ex.radio.2.116	待て…あれは…	Warte... Ist das...	Attends... C'est...	Espera... ¿Eso es...?
ex.radio.2.117	…おい、こいつはどう操縦するんだ！？	...Hey, wie steuert man das Ding?!	...Hé, comment on pilote ce truc ?!	...¡¿Cómo se pilota esta cosa?!
ex.radio.2.118	いやああ！！	Neeeein!!	Noooon !!	¡¡Noooo!!
ex.radio.2.119	全機、エンジンを切れ！急げ！	Alle die Triebwerke abschalten! Schnell!	Coupez tous vos moteurs ! Vite !	¡Todos, apaguen los motores! ¡Rápido!
ex.radio.2.120	…何が起きた？	...Was ist passiert?	...Que s'est-il passé ?	...¿Qué ha pasado?
ex.radio.2.121	き、機体が反応しなくなった！	Mein S-Schiff reagiert nicht mehr!	Mon v-vaisseau ne répond plus !	¡Mi n-n-nave dejó de responder!
ex.radio.2.122	隕石が全部破壊された…	Alle Meteore wurden zerstört...	Tous ces météores ont été détruits...	Todos esos meteoros fueron destruidos...
ex.radio.2.123	一瞬システムが停止したぞ！	Meine Systeme sind kurz ausgefallen!	Mes systèmes se sont coupés un instant !	¡Mis sistemas fallaron por un momento!
ex.radio.2.124	本当に気をつけないと！	Wir müssen sehr vorsichtig sein!	Il faut vraiment faire attention !	¡Tenemos que tener mucho cuidado!
ex.radio.2.125	みんな、ゆっくり行こう…	Gehen wir's langsam an, Leute...	Allons-y doucement, les amis...	Vayamos despacio, chicos...
ex.radio.2.126	慎重に近づこう、フォックス。	Nähern wir uns vorsichtig, Fox.	Approchons prudemment, Fox.	Acerquémonos con cautela, Fox.
ex.radio.1.237	みんな、こ、怖いよ！ケロッ！	Leute, ich habe A-Angst! Quak!	Les amis, j'ai p-peur ! Croâ !	¡Chicos, tengo m-m-miedo! ¡Croac!
ex.radio.1.238	決着をつけよう！あと少しだ！	Bringen wir's zu Ende! Fast geschafft!	Finissons-en ! On y est presque !	¡Acabemos con esto! ¡Ya casi llegamos!
ex.radio.1.239	フォックス、お前は本当に父親そっくりだ…	Fox, du bist deinem Vater so ähnlich...	Fox, tu ressembles tellement à ton père...	Fox, te pareces tanto a tu padre...
ex.radio.1.240	静かすぎるくらいだな…	Es ist fast zu ruhig...	C'est presque trop calme...	Está casi demasiado tranquilo...
ex.radio.1.241	罠のような気がする…	Das fühlt sich wie eine Falle an...	On dirait un piège...	Esto parece una trampa...
ex.radio.1.242	何だか落ち着かないな…	Irgendetwas macht mich nervös...	Quelque chose me met les nerfs à vif...	Algo me tiene en tensión...
ex.radio.1.243	フォックス、今度は俺たちにも残しておけよ！	Fox, lass diesmal auch welche für uns übrig!	Fox, essaie de nous en laisser cette fois !	¡Fox, intenta dejarnos algunos esta vez!
ex.radio.1.244	よし！報酬をもらいに行くぞ！	Alles klar! Holen wir uns unseren Lohn!	Très bien ! Allons toucher notre paie !	¡Muy bien! ¡Vamos a cobrar!
ex.radio.1.245	今度は何に巻き込んだんだ、フォックス？	Wo hast du mich diesmal reingeritten, Fox?	Dans quoi tu m'as embarqué cette fois, Fox ?	¿En qué me has metido esta vez, Fox?
ex.radio.1.246	フォックス？どこへ行った？仲間を置いてきたのか？すぐに連絡して助けるんだ！	Fox? Wo bist du? Hast du dein Team zurückgelassen? Melde dich schnell und hilf ihm!	Fox ? Où es-tu ? Tu as laissé ton équipe derrière ? Contacte-la vite et aide-la !	¿Fox? ¿Dónde estás? ¿Dejaste atrás a tu equipo? ¡Comunícate enseguida y ayúdalo!
ex.radio.1.247	スイセイ	SUISEI	SUISEI	SUISEI
ex.radio.1.248	緑ヨッシーモード、タマゴ攻撃！	Grüner Yoshi-Modus: Eierangriff!	Mode Yoshi vert : attaque aux œufs !	¡Modo Yoshi verde, ataque de huevos!
ex.radio.1.249	赤ヨッシーモード、炎攻撃！	Roter Yoshi-Modus: Feuerangriff!	Mode Yoshi rouge : attaque de feu !	¡Modo Yoshi rojo, ataque de fuego!
ex.radio.1.250	青ヨッシーモード、回復と防御！	Blauer Yoshi-Modus: Heilen und verteidigen!	Mode Yoshi bleu : soin et défense !	¡Modo Yoshi azul, curación y defensa!
ex.radio.1.251	もう我慢ならん！	Jetzt reicht's!	Ça suffit !	¡Se acabó!
ex.radio.1.252	もう怒ったぞ！	Jetzt bin ich wütend!	Maintenant, je suis en colère !	¡Ahora sí que estoy furioso!
ex.radio.1.217	黒幕が誰だろうと、ただじゃおかないぜ！	Wer dahintersteckt, ist erledigt!	Le responsable de tout ça est cuit !	¡Quien esté detrás de esto está acabado!
ex.radio.1.218	何のために戦う？金か？名誉か？金だな。	Warum machen wir das? Geld? Ruhm? Geld.	Pourquoi on fait ça ? L'argent ? La gloire ? L'argent.	¿Por qué hacemos esto? ¿Dinero? ¿Gloria? Dinero.
ex.radio.1.219	月の暗い側だ！	Das ist die dunkle Seite des Mondes!	C'est le côté obscur de la lune !	¡Es el lado oscuro de la luna!
ex.radio.1.220	ここならふわふわ飛んでいきそうだね…	Hier könnten wir einfach davonschweben...	On dirait qu'on pourrait partir à la dérive ici...	Parece que aquí podríamos salir flotando...
ex.radio.1.221	静かだ…静かすぎる…	Es ist ruhig... Zu ruhig...	C'est calme... Trop calme...	Está tranquilo... Demasiado tranquilo...
ex.radio.1.222	な、なんだかぞっとするよ…	Irgendetwas macht mir A-Angst...	Quelque chose me donne la t-trouille...	Algo me da e-e-escalofríos...
ex.radio.1.223	罠のようだ。前を見ろ！	Riecht nach einer Falle. Augen nach vorn!	Ça sent le piège. Regarde devant !	Parece una trampa. ¡Ojos al frente!
ex.radio.1.224	嫌な予感がするぞ、フォックス…	Ich habe ein ungutes Gefühl, Fox...	J'ai un mauvais pressentiment, Fox...	Tengo un mal presentimiento, Fox...
ex.radio.1.225	メトロイドに気をつけて！	Vorsicht vor den Metroids!	Attention à ces Métroïdes !	¡Cuidado con esos metroides!
ex.radio.1.226	前のあいつら、しつこくくっつくぞ…	Die Dinger da vorne klammern sich fest...	Ces choses devant s'accrochent...	Esas cosas de delante se pegan...
ex.radio.1.227	ローリングが必要になるかもな！	Vielleicht brauchst du ein paar Fassrollen!	Tu devras peut-être faire des tonneaux !	¡Puede que necesites hacer unos toneles!
ex.radio.1.228	こいつらを引きはがして！ケロッ！	Mach uns diese Dinger weg! Quak!	Débarrasse-nous de ces choses ! Croâ !	¡Quítanos estas cosas de encima! ¡Croac!
ex.radio.1.229	おい、機体がぬるぬるになっちまったぞ！	Leute, mein Schiff ist jetzt voller Schleim!	Les gars, mon vaisseau est tout gluant !	¡Mi nave está toda pringosa, chicos!
ex.radio.1.230	こいつらは容赦ないな…	Diese Dinger geben niemals auf...	Ces choses sont implacables...	Estas cosas no dan tregua...
ex.radio.1.231	ここの空はきれいだね！ケロッ！	Der Himmel ist hier so schön! Quak!	Le ciel est si beau ici ! Croâ !	¡El cielo aquí es precioso! ¡Croac!
ex.radio.1.232	忘れるな、休暇じゃないぞ、フォックス！	Wir sind nicht im Urlaub, Fox!	On n'est pas en vacances, Fox !	¡Recuerda que no estamos de vacaciones, Fox!
ex.radio.1.233	引退したらここに住みたいもんだ…	Hier könnte ich meinen Ruhestand verbringen...	Je prendrais bien ma retraite ici...	Podría jubilarme por aquí...
ex.radio.1.234	これ、いつか終わるの！？	Hört das denn nie auf?!	Ça va s'arrêter un jour ?!	¡¿Esto se acabará alguna vez?!
ex.radio.1.235	近くに相当強い何かがいる…	Etwas sehr Starkes ist ganz in der Nähe...	Quelque chose de très puissant est tout près...	Hay algo muy poderoso cerca...
ex.radio.1.236	突破しよう！もうすぐ終わりだ！	Kämpfen wir uns durch! Fast geschafft!	On continue ! On touche au but !	¡Sigamos adelante! ¡Ya casi llegamos!
ex.radio.1.197	やあ、仲間たち！	Hey, Paisanos!	Salut, paisanos !	¡Eh, paisanos!
ex.radio.1.198	もうすぐパワー全開で遊べるぞ…！	Gleich spielst du mit voller Power...!	Bientôt, tu vas jouer avec la puissance... !	¡Pronto jugarás con todo el poder...!
ex.radio.1.199	パスタパワー！	Pasta-Power!	La puissance des pâtes !	¡El poder de la pasta!
ex.radio.1.200	びっくりした？また僕たちだ！	Überraschung! Wir sind's wieder.	Surprise ! C'est encore nous.	¡Sorpresa! Somos nosotros otra vez.
ex.radio.1.201	そろそろお前を放り込もう…	Jetzt stecken wir dich...	Il est temps de te jeter...	Es hora de meterte...
ex.radio.1.202	銀河間生ゴミ処理機にな！	...in den intergalaktischen Müllzerkleinerer!	...dans le broyeur intergalactique !	...¡en el triturador intergaláctico!
ex.radio.1.203	僕だよ…ミスターL！	Ich bin's... Mister L!	C'est moi... Mister L !	¡Soy yo... el Sr. L!
ex.radio.1.204	そして俺、赤い稲妻だ！	Und ich, der rote Blitz!	Et moi, l'Éclair rouge !	¡Y yo, el Rayo Rojo!
ex.radio.1.205	お前を海に葬ってやる！	Wir verpassen dir ein Seemannsgrab!	On va t'offrir une sépulture en mer !	¡Vamos a enterrarte en el mar!
ex.radio.1.206	いや、その、宇宙にだ。覚悟しろ！	Oder, äh, im All. Nimm das!	Enfin, euh, dans l'espace. En garde !	O, eh, en el espacio. ¡En guardia!
ex.radio.1.207	あそこに、つ、強い何かがいる！	Da vorne ist etwas S-Starkes!	Il y a quelque chose de p-puissant devant !	¡Hay algo p-p-poderoso delante!
ex.radio.1.208	フォックス、センサーが振り切れてる！	Fox, meine Sensoren schlagen voll aus!	Fox, mes capteurs dépassent les limites !	¡Fox, mis sensores se salen de la escala!
ex.radio.1.209	前方に強力な物体を検知した！	Ich erfasse ein mächtiges Objekt voraus!	Je détecte un objet puissant devant !	¡Detecto un objeto poderoso delante!
ex.radio.1.210	注意して！前方に隕石がいっぱいだ！	Vorsicht! Viele Meteore voraus!	Attention ! Beaucoup de météores devant !	¡Cuidado! ¡Hay muchos meteoros delante!
ex.radio.1.211	油断するな！前方に隕石だ！	Nicht übermütig werden! Meteore voraus!	Ne fais pas le malin ! Météores devant !	¡No te confíes! ¡Meteoros delante!
ex.radio.1.212	隕石の間を慎重に飛べ！	Flieg vorsichtig durch die Meteore!	Vole prudemment entre ces météores !	¡Vuela con cuidado entre esos meteoros!
ex.radio.1.213	ま、また始まったね！ケロッ！	Es g-geht wieder los! Quak!	C'est r-reparti ! Croâ !	¡Y v-v-volvemos a empezar! ¡Croac!
ex.radio.1.214	また楽に稼げる仕事だろ、フォックス？	Wieder leicht verdientes Geld, was, Fox?	Encore de l'argent facile, hein, Fox ?	Otro trabajo de dinero fácil, ¿verdad, Fox?
ex.radio.1.215	いつかこんな仕事は年でできなくなるな…	Irgendwann bin ich zu alt dafür...	Un jour, je serai trop vieux pour ça...	Algún día seré demasiado viejo para esto...
ex.radio.1.216	これを全部やってるのは誰だと思う？	Wer steckt wohl hinter all dem?	Qui est derrière tout ça, à votre avis ?	¿Quién crees que está detrás de todo esto?
ex.radio.1.177	そうはさせないぞ、スターフォックス！	Das lasse ich nicht zu, Star Fox!	Je ne te laisserai pas faire, Star Fox !	¡No puedo permitirlo, Star Fox!
ex.radio.1.178	遊びは終わりだ、スターフォックス！	Die Spielzeit ist vorbei, Star Fox!	La récréation est finie, Star Fox !	¡Se acabó el juego, Star Fox!
ex.radio.1.179	親父にお前の負ける姿を見せたかったぜ！	Schade, dass dein Vater deine Niederlage nicht sieht!	Dommage que ton père ne soit pas là pour te voir échouer !	¡Lástima que tu padre no esté para verte fracasar!
ex.radio.1.180	俺たちの機体に対抗できるかな？	Mal sehen, wie du mit unseren Schiffen fertigwirst!	Voyons comment tu te débrouilles face à nos vaisseaux !	¡Veamos cómo te las arreglas contra nuestras naves!
ex.radio.1.181	アンドルフには絶対に近づけさせん！	Wir lassen dich niemals zu Andross durch!	On ne te laissera jamais atteindre Andross !	¡Nunca te dejaremos llegar hasta Andross!
ex.radio.1.182	調子に乗るな、スターフォックス！	Werd nicht übermütig, Star Fox!	Ne prends pas la grosse tête, Star Fox !	¡No te creas tanto, Star Fox!
ex.radio.1.183	それはどうかな、スターウルフ。	Das werden wir ja sehen, Star Wolf.	C'est ce qu'on va voir, Star Wolf.	Eso ya lo veremos, Star Wolf.
ex.radio.1.184	まさか！信じられん！	Unmöglich! Das glaube ich nicht!	Impossible ! Je n'y crois pas !	¡No puede ser! ¡No me lo creo!
ex.radio.1.185	こんなはずはない！	Das kann nicht wahr sein!	Ça ne peut pas arriver !	¡Esto no puede estar pasando!
ex.radio.1.186	強すぎる！	Er ist zu stark!	Il est trop fort !	¡Es demasiado fuerte!
ex.radio.1.187	うわああああ！！	Aaaaahhhhhh!!!	Aaaaahhhhhh !!!	¡¡¡Aaaaahhhhhh!!!
ex.radio.1.188	腕はいいが、俺の方が上だ。	Du bist gut, aber ich bin besser.	Tu es bon, mais je suis meilleur.	Eres bueno, pero yo soy mejor.
ex.radio.1.189	俺には勝てん！機体の性能が違う！	Du kannst mich nicht schlagen! Mein Schiff ist besser!	Tu ne peux pas me battre ! Mon vaisseau est meilleur !	¡No puedes vencerme! ¡Mi nave es mejor!
ex.radio.1.190	まだだ。パーティーは始まったばかりだ！	Noch nicht. Die Party hat gerade erst begonnen!	Pas encore. La fête ne fait que commencer !	Todavía no. ¡La fiesta acaba de empezar!
ex.radio.1.191	諦めろ。勝ち目はない！	Gib auf. Du kannst nicht gewinnen!	Abandonne. Tu ne peux pas gagner !	Ríndete. ¡No puedes ganar!
ex.radio.1.192	前方に見えた！派手に行くぜ！	Da vorne ist es. Jetzt geht's rund!	Je le vois devant. On va tout donner !	Lo veo delante. ¡A todo ritmo!
ex.radio.1.193	フォックス、だ、だめええ！！	Fox, n-nein!!!!!!	Fox, n-non !!!!!!	¡¡¡Fox, n-n-no!!!
ex.radio.1.194	フォックス、だめだ！！	Fox, nein!!!!!!	Fox, non !!!!!!	¡¡¡Fox, no!!!
ex.radio.1.195	フォックス！！	Fox!!!!!!	Fox !!!!!!	¡¡¡Fox!!!
ex.radio.1.196	こんな終わり方は嫌だ！！	Das darf nicht das Ende sein!!!!!!	Ça ne peut pas être la fin !!!!!!	¡¡¡Esto no puede ser el final!!!
ex.radio.1.161	敵はこの星から来ているようだ。どうか無事に帰ってきてくれ！	Die Feinde scheinen von diesem Planeten zu kommen. Komm heil zurück!	Les ennemis semblent venir de cette planète. Reviens en un seul morceau !	Parece que los enemigos vienen de este planeta. ¡Vuelve de una pieza!
ex.radio.1.162	カザル	KAZARU	KAZARU	KAZARU
ex.radio.1.163	フォックス、この星の空気は呼吸できない。アーウィンから出るな！	Fox, hier gibt es keine Atemluft. Bleibt in euren Arwings!	Fox, l'air de cette planète est irrespirable. Restez dans vos Arwings !	Fox, este planeta no tiene aire respirable. ¡No salgan de los Arwings!
ex.radio.1.164	トリマス	TOLIMAS	TOLIMAS	TOLIMAS
ex.radio.1.165	緑の野原にだまされるな。ここの住民は敵対的だ！	Lass dich nicht von den grünen Wiesen täuschen. Die Bewohner sind feindselig!	Ne te fie pas aux champs verdoyants. Les habitants sont hostiles !	¡No te dejes engañar por sus campos verdes! ¡Sus habitantes son hostiles!
ex.radio.1.166	アルファ	ALPHA	ALPHA	ALPHA
ex.radio.1.167	この星には超能力者か…魔術師がいるらしい。奴の悪行を止めてくれ！	Hier lebt ein Hellseher oder... Zauberer? Beende seinen Unfug!	Un médium, ou... un sorcier, vit ici ? Mets fin à ses agissements !	Aquí vive una especie de psíquico, o... ¿hechicero? ¡Detén sus fechorías!
ex.radio.1.168	サイガード	CYGARD	CYGARD	CYGARD
ex.radio.1.169	月面基地ゲコウが占領された。敵を倒して基地を解放しろ！	Die Mondbasis Gekou wurde überrannt. Vernichte die Feinde und befreie sie!	La base lunaire de Gekou est occupée. Détruis les ennemis et libère-la !	La base lunar de Gekou ha sido tomada. ¡Destruye a los enemigos y libérala!
ex.radio.1.170	ゲコウ	GEKOU	GEKOU	GEKOU
ex.radio.1.171	フォックス、君の故郷が攻撃されている！急いで敵の母艦を止めろ！	Fox, deine Heimat wird angegriffen! Halte schnell ihr Mutterschiff auf!	Fox, ta planète natale est attaquée ! Arrête vite leur vaisseau-mère !	¡Fox, atacan tu planeta natal! ¡Date prisa y detén su nave nodriza!
ex.radio.1.172	パペトゥーン	PAPETOON	PAPETOON	PAPETOON
ex.radio.1.173	この極寒の星で久々に生命反応が出た。敵対するものは全て破壊しろ！	Erstmals seit Langem gibt es Leben auf diesem Eisplaneten. Vernichte alles Feindliche!	Des signes de vie réapparaissent sur cette planète glaciale. Élimine toute menace !	Este planeta helado muestra vida por primera vez en mucho tiempo. ¡Destruye toda amenaza!
ex.radio.1.174	アイス	EIS	EIS	EIS
ex.radio.1.175	クラウドには固い地面がなく、ガスの雲に覆われている。慎重に飛べ、フォックス！	Kuraudo hat keinen festen Boden, nur Gaswolken. Flieg vorsichtig, Fox!	Kuraudo n'a pas de sol ferme et est couverte de nuages gazeux. Vole prudemment, Fox !	Kuraudo no tiene suelo firme y está cubierto de nubes de gas. ¡Vuela con cuidado, Fox!
ex.radio.1.176	クラウド	KURAUDO	KURAUDO	KURAUDO
ex.radio.1.146	このルートは記録にない…幸運を祈る、フォックス！	Diese Route steht in keiner unserer Aufzeichnungen... Viel Glück, Fox!	Cette route ne figure dans aucune de nos archives... Bonne chance, Fox !	Esta ruta no figura en nuestros registros... ¡Buena suerte, Fox!
ex.radio.1.147	ボスが総出で向かってくる！気をつけろ、フォックス！	Alle Bosse kommen auf dich zu! Sei vorsichtig, Fox!	Tous les boss foncent sur toi ! Prudence, Fox !	¡Todos los jefes vienen por ti! ¡Ten cuidado, Fox!
ex.radio.1.148	ここまで来たんだ…進み続けろ！	Du hast es so weit geschafft... Weiter so!	Tu es arrivé jusqu'ici... Continue !	Has llegado hasta aquí... ¡Sigue adelante!
ex.radio.1.149	敵が次々に来る！全て倒せるか？	Sie kommen immer weiter! Kannst du sie alle erledigen?	Ils arrivent sans arrêt ! Peux-tu tous les éliminer ?	¡No dejan de llegar! ¿Puedes acabar con todos?
ex.radio.1.150	残るはアンドルフ本人だけだ。君ならできる、フォックス！	Jetzt fehlt nur noch Andross selbst. Du schaffst das, Fox!	Il ne reste qu'Andross lui-même. Tu peux le faire, Fox !	Solo queda derrotar al propio Andross. ¡Tú puedes, Fox!
ex.radio.1.151	くそっ！なぜだ！？思い知らせてやる…	Argh! Wie?! Dir werde ich's zeigen...	Argh ! Comment ?! Tu vas voir...	¡Argh! ¡¿Cómo?! Ya verás...
ex.radio.1.152	ははっ！力がみなぎる！死ね、フォックス！	Aha! Jetzt bin ich so mächtig! Stirb, Fox!	Ah ! Quelle puissance ! Meurs, Fox !	¡Ajá! ¡Ahora soy tan poderoso! ¡Muere, Fox!
ex.radio.1.153	やっと来たか、フォックス！コーネリアが攻撃されている！	Endlich bist du da, Fox! Corneria wird angegriffen!	Te voilà enfin, Fox ! Corneria est attaquée !	¡Por fin llegas, Fox! ¡Corneria está bajo ataque!
ex.radio.1.154	コーネリア：居住区域	CORNERIA - WOHNGEBIET	CORNERIA - ZONE HABITABLE	CORNERIA: ZONA HABITABLE
ex.radio.1.155	海からの総攻撃だ！軍事基地への侵入を阻止しろ！	Ein Großangriff vom Meer! Halte sie von unserer Militärbasis fern!	Un assaut massif par la mer ! Empêche-les d'atteindre notre base militaire !	¡Es un asalto total por mar! ¡Impide que lleguen a nuestra base militar!
ex.radio.1.156	ペブルビーチ	PEBBLE BEACH	PEBBLE BEACH	PEBBLE BEACH
ex.radio.1.157	この区域は未探索だ。気をつけろ、フォックス！	Dieses Gebiet ist unerforscht. Sei vorsichtig, Fox!	Cette zone est inexplorée. Prudence, Fox !	Esta zona aún no se ha explorado. ¡Ten cuidado, Fox!
ex.radio.1.158	TARKUS-H 2-112	TARKUS-H 2-112	TARKUS-H 2-112	TARKUS-H 2-112
ex.radio.1.159	この宙域に精神兵器が隠されているとの情報だ。破壊しろ！	Laut Geheimdienst ist hier eine psychologische Waffe versteckt. Zerstöre sie!	Selon nos renseignements, une arme psychologique est cachée ici. Détruis-la !	Hay rumores de un arma psicológica oculta en este sector. ¡Destrúyela!
ex.radio.1.160	セクターK	SEKTOR K	SECTEUR K	SECTOR K
ex.radio.1.008	礼を言っとくべきかな…	Ich sollte wohl dankbar sein...	Je suppose que je devrais te remercier...	Supongo que debería darte las gracias...
